exchange,contract,first_observation,last_trade
CZCE,FG902,2018-03-22,2019-01-16
CZCE,FG903,2018-03-23,2019-02-14
CZCE,FG904,2018-04-19,2019-03-26
CZCE,FG905,2018-05-16,2019-05-17
CZCE,FG906,2018-06-21,2019-05-31
CZCE,FG907,2018-07-30,2019-05-14
CZCE,FG908,2018-08-28,2019-07-26
CZCE,FG909,2018-09-17,2019-09-16
CZCE,FG910,2018-10-24,2019-10-08
CZCE,FG911,2019-01-02,2019-11-11
CZCE,FG912,2019-01-02,2019-12-12
CZCE,MA001,2019-01-16,2020-01-15
CZCE,MA002,2019-03-06,2020-02-03
CZCE,MA003,2019-03-20,2020-03-13
CZCE,MA004,2019-04-29,2020-04-10
CZCE,MA005,2019-05-20,2020-05-19
CZCE,MA006,2019-06-19,2020-06-04
CZCE,MA007,2019-07-16,2020-07-14
CZCE,MA008,2019-09-04,2020-08-12
CZCE,MA009,2019-09-17,2020-09-14
CZCE,MA010,2019-10-22,2020-10-21
CZCE,MA011,2019-11-22,2020-11-13
CZCE,MA012,2020-01-06,2020-12-11
CZCE,MA101,2020-01-16,2021-01-15
CZCE,MA102,2020-02-19,2021-02-05
CZCE,MA103,2020-03-18,2021-03-12
CZCE,MA104,2020-04-21,2021-04-13
CZCE,MA105,2020-05-20,2021-05-19
CZCE,MA106,2020-06-15,2021-06-10
CZCE,MA107,2020-07-16,2021-07-02
CZCE,MA108,2020-08-21,2021-08-13
CZCE,MA109,2020-09-15,2021-09-14
CZCE,MA110,2020-10-28,2021-10-20
CZCE,MA111,2020-11-20,2021-11-08
CZCE,MA112,2020-12-17,2021-12-13
CZCE,MA201,2021-01-18,2022-01-17
CZCE,MA202,2021-02-22,2022-02-16
CZCE,MA203,2021-03-15,2022-03-14
CZCE,MA204,2021-04-29,2022-04-15
CZCE,MA205,2021-05-20,2022-05-18
CZCE,MA206,2021-06-23,2022-06-15
CZCE,MA207,2021-07-19,2022-07-14
CZCE,MA208,2021-08-17,2022-08-08
CZCE,MA209,2021-09-15,2022-09-15
CZCE,MA210,2021-10-22,2022-10-19
CZCE,MA211,2021-11-15,2022-11-14
CZCE,MA212,2021-12-15,2022-12-14
CZCE,MA301,2022-01-18,2023-01-16
CZCE,MA302,2022-02-22,2023-02-13
CZCE,MA303,2022-03-17,2023-03-09
CZCE,MA304,2022-04-19,2023-04-14
CZCE,MA305,2022-05-19,2023-05-17
CZCE,MA306,2022-06-17,2023-06-12
CZCE,MA307,2022-07-18,2023-07-11
CZCE,MA308,2022-08-16,2023-08-14
CZCE,MA309,2022-09-16,2023-09-14
CZCE,MA310,2022-10-24,2023-10-20
CZCE,MA311,2022-11-15,2023-11-14
CZCE,MA312,2022-12-16,2023-12-05
CZCE,MA401,2023-01-17,2024-01-15
CZCE,MA402,2023-02-15,2024-02-22
CZCE,MA403,2023-03-15,2024-03-07
CZCE,MA404,2023-04-19,2024-04-01
CZCE,MA405,2023-05-18,2024-05-16
CZCE,MA406,2023-06-15,2024-06-17
CZCE,MA407,2023-07-17,2024-07-12
CZCE,MA408,2023-08-15,2024-08-13
CZCE,MA409,2023-09-15,2024-09-13
CZCE,MA410,2023-10-23,2024-10-18
CZCE,MA411,2023-11-15,2024-11-06
CZCE,MA412,2023-12-15,2024-12-06
CZCE,MA501,2024-01-16,2025-01-15
CZCE,MA502,2024-02-23,2025-02-17
CZCE,MA503,2024-03-15,2025-03-12
CZCE,MA504,2024-04-17,2025-04-15
CZCE,MA505,2024-05-20,2025-05-19
CZCE,MA506,2024-06-18,2025-06-11
CZCE,MA507,2024-07-16,2025-07-14
CZCE,MA508,2024-08-15,2025-08-05
CZCE,MA509,2024-09-18,2025-09-12
CZCE,MA510,2024-10-23,2025-10-17
CZCE,MA511,2024-11-15,2025-11-14
CZCE,MA512,2024-12-17,2025-12-08
CZCE,MA601,2016-01-04,2016-01-15
CZCE,MA601,2025-01-16,2026-01-16
CZCE,MA602,2016-01-12,2016-01-29
CZCE,MA602,2025-02-19,2026-02-12
CZCE,MA603,2016-01-08,2016-02-17
CZCE,MA603,2025-03-17,2026-03-12
CZCE,MA604,2016-01-05,2016-02-22
CZCE,MA604,2025-04-17,2026-04-10
CZCE,MA605,2016-01-04,2016-05-13
CZCE,MA605,2025-05-20,2026-05-19
CZCE,MA606,2016-01-04,2016-06-02
